vin,transaction_date,fuel_qty_l,fuel_cost,odometer_km
VH001,2026-08-25,31.57,3120.18,37348.4
VH002,2026-08-25,34.35,3434.52,20963.2
VH003,2026-08-25,19.53,1879.23,18397.1
VH004,2026-08-25,20.88,2081.82,37256.5
VH005,2026-08-25,34.86,3523.78,32471.5
VH006,2026-08-25,29.26,2782.07,66117.7
VH007,2026-08-25,30.64,3211.25,15204.7
VH008,2026-08-25,32.04,3050.63,11643.2
VH009,2026-08-25,43.71,4392.34,39658.4
VH010,2026-08-25,27.37,2737.81,43131.5
VH011,2026-08-25,31.13,3072.41,21734.6
VH012,2026-08-25,37.45,3790.14,56896.7
VH013,2026-08-25,40.85,3977.99,52720.5
VH014,2026-08-25,21.31,2201.45,17400.4
VH015,2026-08-25,23.79,2416.32,71732.3
VH016,2026-08-25,39.16,3797.97,53758.0
VH017,2026-08-25,20.45,1986.68,14051.7
VH018,2026-08-25,43.89,4243.57,34689.2
VH019,2026-08-25,18.09,1889.82,24575.3
VH020,2026-08-25,40.37,4094.17,30806.8
VH001,2026-08-26,15.92,1535.26,37550.9
VH002,2026-08-26,39.15,4026.17,21107.0
VH003,2026-08-26,42.87,4168.95,18586.6
VH004,2026-08-26,38.33,3706.53,37462.9
VH005,2026-08-26,31.22,3163.78,32687.5
VH006,2026-08-26,22.64,2283.38,66205.9
VH007,2026-08-26,37.39,3739.48,15447.5
VH008,2026-08-26,20.98,2095.93,11804.8
VH009,2026-08-26,20.68,2143.15,39801.9
VH010,2026-08-26,16.79,1608.89,43233.3
VH011,2026-08-26,31.48,3251.63,21924.0
VH012,2026-08-26,32.8,3298.43,57136.6
VH013,2026-08-26,19.97,1912.93,52809.2
VH014,2026-08-26,31.99,3051.11,17542.5
VH015,2026-08-26,18.23,1808.07,71922.4
VH016,2026-08-26,15.48,1623.2,53914.5
VH017,2026-08-26,23.64,2298.89,14235.7
VH018,2026-08-26,21.72,2256.06,34865.3
VH019,2026-08-26,28.03,2755.03,24687.0
VH020,2026-08-26,27.83,2757.85,30936.8
VH001,2026-08-27,16.47,1710.22,37754.1
VH002,2026-08-27,36.02,3645.51,21302.0
VH003,2026-08-27,34.16,3492.14,18725.5
VH004,2026-08-27,34.18,3292.6,37711.6
VH005,2026-08-27,34.43,3549.29,32874.1
VH006,2026-08-27,24.05,2326.8,66431.4
VH007,2026-08-27,35.21,3409.77,15584.0
VH008,2026-08-27,17.61,1797.67,11947.1
VH009,2026-08-27,28.12,2755.18,39894.2
VH010,2026-08-27,36.21,3670.53,43359.1
VH011,2026-08-27,30.08,3127.18,22093.2
VH012,2026-08-27,25.09,2517.44,57288.6
VH013,2026-08-27,40.88,4206.06,53001.3
VH014,2026-08-27,21.5,2046.06,17662.0
VH015,2026-08-27,37.45,3618.31,72046.9
VH016,2026-08-27,20.4,1978.59,54021.9
VH017,2026-08-27,41.32,4039.86,14342.9
VH018,2026-08-27,15.28,1498.0,35038.1
VH019,2026-08-27,27.0,2708.92,24935.7
VH020,2026-08-27,15.31,1490.98,31136.8
VH001,2026-08-28,18.12,1792.33,37929.5
VH002,2026-08-28,34.51,3441.56,21475.4
VH003,2026-08-28,35.29,3438.63,18813.2
VH004,2026-08-28,28.41,2814.71,37830.5
VH005,2026-08-28,32.77,3293.5,33038.6
VH006,2026-08-28,41.06,4201.47,66620.4
VH007,2026-08-28,22.52,2348.07,15676.4
VH008,2026-08-28,31.13,3171.35,12181.5
VH009,2026-08-28,19.01,1851.06,40003.7
VH010,2026-08-28,18.77,1935.0,43513.7
VH011,2026-08-28,17.65,1696.25,22211.7
VH012,2026-08-28,35.84,3538.58,57500.6
VH013,2026-08-28,16.63,1638.3,53175.1
VH014,2026-08-28,25.93,2512.58,17856.4
VH015,2026-08-28,22.97,2277.65,72170.2
VH016,2026-08-28,31.93,3256.92,54182.3
VH017,2026-08-28,28.37,2906.04,14527.4
VH018,2026-08-28,23.08,2364.31,35201.7
VH019,2026-08-28,38.49,3932.42,25174.9
VH020,2026-08-28,29.36,2919.29,31313.9
VH001,2026-08-29,34.08,3429.14,38037.3
VH002,2026-08-29,32.23,3232.41,21578.3
VH003,2026-08-29,33.33,3409.99,18996.1
VH004,2026-08-29,39.51,3879.87,38016.9
VH005,2026-08-29,33.83,3319.29,33223.8
VH006,2026-08-29,36.26,3762.12,66796.3
VH007,2026-08-29,22.32,2335.85,15815.0
VH008,2026-08-29,24.87,2397.0,12322.9
VH009,2026-08-29,34.66,3505.26,40179.8
VH010,2026-08-29,25.47,2566.94,43647.4
VH011,2026-08-29,26.65,2646.19,22408.3
VH012,2026-08-29,37.41,3663.96,57582.4
VH013,2026-08-29,21.81,2256.74,53390.1
VH014,2026-08-29,26.62,2767.53,17973.9
VH015,2026-08-29,16.85,1735.0,72342.0
VH016,2026-08-29,44.19,4248.23,54268.6
VH017,2026-08-29,32.05,3067.05,14707.8
VH018,2026-08-29,16.19,1564.11,35326.9
VH019,2026-08-29,17.17,1685.23,25381.5
VH020,2026-08-29,38.08,3976.96,31468.2
