vin,maintenance_date,maintenance_type
VH001,2026-03-17,Scheduled Service
VH001,2026-04-03,Engine Check
VH001,2026-02-23,Scheduled Service
VH002,2026-11-14,Tire Replacement
VH002,2026-01-18,Tire Replacement
VH003,2026-04-09,Tire Replacement
VH003,2026-03-27,Tire Replacement
VH004,2026-03-23,Tire Replacement
VH005,2026-01-26,Scheduled Service
VH006,2026-01-18,Tire Replacement
VH006,2026-08-06,Tire Replacement
VH007,2026-05-16,Engine Check
VH007,2026-01-06,Scheduled Service
VH008,2026-06-12,Scheduled Service
VH008,2026-04-08,Engine Check
VH009,2026-09-25,Engine Check
VH009,2026-04-18,Scheduled Service
VH010,2026-03-16,Engine Check
VH010,2026-08-13,Engine Check
VH011,2026-10-22,Engine Check
VH012,2026-10-26,Tire Replacement
VH013,2026-06-16,Scheduled Service
VH014,2026-03-15,Scheduled Service
VH014,2026-02-27,Tire Replacement
VH015,2026-11-07,Tire Replacement
VH015,2026-05-24,Tire Replacement
VH015,2026-10-07,Scheduled Service
VH016,2026-03-26,Scheduled Service
VH017,2026-08-16,Scheduled Service
VH017,2026-05-28,Engine Check
VH017,2026-04-20,Tire Replacement
VH018,2026-07-05,Tire Replacement
VH019,2026-08-07,Scheduled Service
VH019,2026-02-04,Engine Check
VH019,2026-02-01,Tire Replacement
VH020,2026-01-18,Tire Replacement
VH020,2026-01-13,Engine Check
VH020,2026-03-04,Scheduled Service
