vin,driver_id,daily_rate,assignment_date
VH001,DR001,1339.99,2026-08-25
VH002,DR007,1593.88,2026-08-25
VH003,DR007,1885.48,2026-08-25
VH004,DR015,1524.4,2026-08-25
VH005,DR015,1245.59,2026-08-25
VH006,DR018,1418.49,2026-08-25
VH006,DR018,1644.23,2026-08-25
VH007,DR002,1514.47,2026-08-25
VH008,DR008,2214.13,2026-08-25
VH009,DR012,2058.5,2026-08-25
VH009,DR012,2188.03,2026-08-25
VH010,DR010,2095.1,2026-08-25
VH011,DR001,1757.0,2026-08-25
VH011,DR001,2027.4,2026-08-25
VH012,DR004,1771.95,2026-08-25
VH013,DR017,2412.49,2026-08-25
VH014,DR003,1269.22,2026-08-25
VH015,DR016,2304.39,2026-08-25
VH016,DR006,1378.34,2026-08-25
VH017,DR008,1725.55,2026-08-25
VH018,DR019,1208.7,2026-08-25
VH019,DR015,1677.88,2026-08-25
VH020,DR006,1851.55,2026-08-25
VH001,DR007,1954.26,2026-08-26
VH002,DR009,1483.35,2026-08-26
VH003,DR004,2216.37,2026-08-26
VH004,DR003,2265.53,2026-08-26
VH005,DR019,2413.86,2026-08-26
VH006,DR005,1722.29,2026-08-26
VH006,DR005,1787.96,2026-08-26
VH007,DR017,2485.35,2026-08-26
VH008,DR016,1772.52,2026-08-26
VH009,DR004,1201.87,2026-08-26
VH010,DR003,1815.36,2026-08-26
VH011,DR010,1594.4,2026-08-26
VH012,DR005,1331.24,2026-08-26
VH012,DR005,1560.68,2026-08-26
VH013,DR020,2050.91,2026-08-26
VH014,DR014,1395.9,2026-08-26
VH015,DR001,1593.75,2026-08-26
VH016,DR010,2126.11,2026-08-26
VH017,DR004,2399.5,2026-08-26
VH018,DR011,2256.58,2026-08-26
VH019,DR020,2343.5,2026-08-26
VH019,DR020,2489.48,2026-08-26
VH020,DR011,1650.81,2026-08-26
VH001,DR004,1475.46,2026-08-27
VH002,DR011,1443.39,2026-08-27
VH002,DR011,1602.66,2026-08-27
VH003,DR010,1560.96,2026-08-27
VH004,DR001,2425.22,2026-08-27
VH005,DR014,1384.4,2026-08-27
VH006,DR020,1340.3,2026-08-27
VH007,DR016,1723.7,2026-08-27
VH008,DR007,1236.51,2026-08-27
VH009,DR004,1639.31,2026-08-27
VH010,DR014,1723.13,2026-08-27
VH011,DR005,1386.5,2026-08-27
VH012,DR008,1521.36,2026-08-27
VH013,DR003,1693.93,2026-08-27
VH014,DR001,2018.05,2026-08-27
VH015,DR017,2416.81,2026-08-27
VH016,DR012,1789.91,2026-08-27
VH017,DR006,2416.6,2026-08-27
VH018,DR003,1983.68,2026-08-27
VH018,DR003,2206.74,2026-08-27
VH019,DR004,2193.89,2026-08-27
VH020,DR003,1817.36,2026-08-27
VH001,DR003,2351.91,2026-08-28
VH002,DR018,1495.05,2026-08-28
VH002,DR018,1649.75,2026-08-28
VH003,DR019,1613.65,2026-08-28
VH004,DR002,2398.25,2026-08-28
VH005,DR008,2262.16,2026-08-28
VH006,DR014,1636.93,2026-08-28
VH007,DR011,2395.55,2026-08-28
VH008,DR009,2434.39,2026-08-28
VH009,DR013,1206.28,2026-08-28
VH009,DR013,1353.6,2026-08-28
VH010,DR012,1997.25,2026-08-28
VH011,DR013,1698.33,2026-08-28
VH012,DR015,2048.81,2026-08-28
VH012,DR015,2308.17,2026-08-28
VH013,DR005,1920.76,2026-08-28
VH014,DR006,2188.86,2026-08-28
VH015,DR006,1651.8,2026-08-28
VH016,DR009,2195.21,2026-08-28
VH017,DR011,2192.79,2026-08-28
VH017,DR011,2408.44,2026-08-28
VH018,DR009,1419.12,2026-08-28
VH019,DR001,1540.35,2026-08-28
VH020,DR002,1572.79,2026-08-28
VH020,DR002,1670.12,2026-08-28
VH001,DR014,2350.74,2026-08-29
VH002,DR017,1554.29,2026-08-29
VH003,DR009,1415.55,2026-08-29
VH004,DR007,2100.06,2026-08-29
VH005,DR011,2401.56,2026-08-29
VH006,DR017,1561.87,2026-08-29
VH007,DR020,1942.47,2026-08-29
VH008,DR003,1855.32,2026-08-29
VH009,DR017,2064.62,2026-08-29
VH010,DR016,1833.86,2026-08-29
VH010,DR016,1901.94,2026-08-29
VH011,DR003,2375.56,2026-08-29
VH012,DR012,1697.55,2026-08-29
VH013,DR020,2261.61,2026-08-29
VH014,DR018,2323.85,2026-08-29
VH015,DR004,1446.54,2026-08-29
VH016,DR019,1772.44,2026-08-29
VH017,DR013,2011.98,2026-08-29
VH018,DR020,1222.95,2026-08-29
VH018,DR020,1323.84,2026-08-29
VH019,DR019,1458.46,2026-08-29
VH020,DR010,1888.7,2026-08-29
