vin,model,mfg_year
VH001,Ashok Leyland Dost,2025
VH002,Tata Ace,2021
VH003,Eicher Pro 2049,2021
VH004,Ashok Leyland Dost,2020
VH005,Eicher Pro 2049,2023
VH006,Tata Ace,2023
VH007,Eicher Pro 2049,2018
VH008,Ashok Leyland Dost,2019
VH009,Tata Ace,2020
VH010,Tata Ace,2025
VH011,Ashok Leyland Dost,2018
VH012,Ashok Leyland Dost,2023
VH013,Eicher Pro 2049,2024
VH014,Tata Ace,2018
VH015,Tata Ace,2022
VH016,Tata Ace,2023
VH017,Tata Ace,2020
VH018,Tata Ace,2020
VH019,Tata Ace,2020
VH020,Ashok Leyland Dost,2021
